2025-10-11 23:31:47,018 - QuestionTypeRecognition - INFO - 配置文件保存成功
2025-10-11 23:31:47,018 - QuestionTypeRecognition - INFO - 确定度配置管理器初始化完成
2025-10-11 23:31:47,019 - QuestionTypeRecognition - INFO - 识别完成: 单选题, 确定度: 100.0%, 耗时: 0.000s
2025-10-11 23:31:47,020 - QuestionTypeRecognition - INFO - 识别完成: 多选题, 确定度: 100.0%, 耗时: 0.000s
2025-10-11 23:31:47,020 - QuestionTypeRecognition - INFO - 识别完成: 未知(极低确定度), 确定度: 40.0%, 耗时: 0.000s
2025-10-11 23:31:47,021 - QuestionTypeRecognition - INFO - 识别完成: 填空题, 确定度: 60.0%, 耗时: 0.000s
2025-10-11 23:31:53,810 - QuestionTypeRecognition - INFO - 配置文件加载成功
2025-10-11 23:31:53,810 - QuestionTypeRecognition - INFO - 确定度配置管理器初始化完成
2025-10-11 23:32:05,211 - QuestionTypeRecognition - INFO - 配置文件加载成功
2025-10-11 23:32:05,212 - QuestionTypeRecognition - INFO - 确定度配置管理器初始化完成
2025-10-11 23:32:05,214 - QuestionTypeRecognition - INFO - 配置文件保存成功
2025-10-11 23:32:05,214 - QuestionTypeRecognition - INFO - 判断题确定度阈值调整: 60 -> 45
2025-10-11 23:32:05,215 - QuestionTypeRecognition - INFO - 配置文件保存成功
2025-10-11 23:32:05,215 - QuestionTypeRecognition - INFO - 填空题确定度阈值调整: 65 -> 55
2025-10-11 23:32:05,216 - QuestionTypeRecognition - INFO - 识别完成: 未知(极低确定度), 确定度: 40.0%, 耗时: 0.001s
2025-10-11 23:32:05,217 - QuestionTypeRecognition - INFO - 识别完成: 填空题, 确定度: 60.0%, 耗时: 0.000s
2025-10-11 23:33:18,353 - QuestionTypeRecognition - INFO - 配置文件加载成功
2025-10-11 23:33:18,354 - QuestionTypeRecognition - INFO - 确定度配置管理器初始化完成
2025-10-11 23:33:18,478 - QuestionTypeRecognition - INFO - 识别完成: 单选题, 确定度: 70.0%, 耗时: 0.000s
2025-10-12 09:54:54,435 - QuestionTypeRecognition - INFO - 配置文件加载成功
2025-10-12 09:54:54,436 - QuestionTypeRecognition - INFO - 确定度配置管理器初始化完成
2025-10-12 09:54:54,437 - QuestionTypeRecognition - INFO - 识别完成: 未知(极低确定度), 确定度: 20.0%, 耗时: 0.000s
2025-10-12 09:54:54,437 - QuestionTypeRecognition - INFO - 识别完成: 未知(极低确定度), 确定度: 20.0%, 耗时: 0.000s
2025-10-12 09:54:54,437 - QuestionTypeRecognition - INFO - 识别完成: 未知(极低确定度), 确定度: 45.0%, 耗时: 0.000s
2025-10-12 09:54:54,437 - QuestionTypeRecognition - INFO - 识别完成: 未知(极低确定度), 确定度: 20.0%, 耗时: 0.000s
2025-10-12 09:54:54,438 - QuestionTypeRecognition - INFO - 识别完成: 未知(极低确定度), 确定度: 20.0%, 耗时: 0.000s
2025-10-12 09:54:54,438 - QuestionTypeRecognition - INFO - 识别完成: 未知(极低确定度), 确定度: 20.0%, 耗时: 0.000s
2025-10-12 09:54:54,438 - QuestionTypeRecognition - INFO - 识别完成: 未知(极低确定度), 确定度: 20.0%, 耗时: 0.000s
2025-10-12 09:54:54,443 - QuestionTypeRecognition - INFO - 识别完成: 未知(极低确定度), 确定度: 20.0%, 耗时: 0.000s
2025-10-12 09:54:54,443 - QuestionTypeRecognition - INFO - 识别完成: 未知(极低确定度), 确定度: 20.0%, 耗时: 0.000s
2025-10-12 09:54:54,443 - QuestionTypeRecognition - INFO - 识别完成: 未知(极低确定度), 确定度: 20.0%, 耗时: 0.000s
2025-10-12 09:54:54,444 - QuestionTypeRecognition - INFO - 识别完成: 未知(极低确定度), 确定度: 20.0%, 耗时: 0.000s
2025-10-12 09:54:54,445 - QuestionTypeRecognition - INFO - 识别完成: 未知(极低确定度), 确定度: 20.0%, 耗时: 0.000s
2025-10-12 09:54:54,445 - QuestionTypeRecognition - INFO - 识别完成: 未知(极低确定度), 确定度: 20.0%, 耗时: 0.000s
2025-10-12 09:54:54,446 - QuestionTypeRecognition - INFO - 识别完成: 未知(极低确定度), 确定度: 20.0%, 耗时: 0.000s
